task_type,priority,difficulty,estimated_minutes,task_id,status,source,assignment_log_count,required_qualification_codes,shift_id,shift_date,shift_start_time,shift_actual_start_time,shift_actual_end_time,employee_id,employee_code,cargo_id,cargo_code,created_at,assigned_at,started_at,completed_at,due_at,queue_wait_minutes,assignment_to_start_minutes,fact_execution_minutes,total_cycle_minutes,actual_minutes_db,task_age_minutes,emp_task_assigned_count,emp_task_completed_count,emp_shift_score,minutes_into_shift,emp_profile_performance_factor,emp_profile_sigma,emp_profile_sample_count,emp_profile_mean_minutes,emp_profile_has_mean,emp_profile_source_kind,task_required_qual_count,emp_modifier_factor_product,emp_modifier_sigma_bonus_sum,emp_modifier_sample_count_sum,emp_required_modifier_count,label_true_minutes
GENERAL,0,4,12,1472,completed,auto,1,,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,10,E0010,,,2026-06-01T10:33:00+00:00,2026-06-01T10:34:00+00:00,2026-06-01T10:41:00+00:00,2026-06-01T10:52:00+00:00,2026-06-01T12:20:00+00:00,1,7,11,19,11,1,0,0,0,94,1.0218,0.0638,0,0.0,0,synthetic,0,1.0,0.0,0,0,11
PUTAWAY_TO_RACK,5,4,21,1473,completed,auto,1,MOVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,12,E0012,403,SIMSHIFT-2026-06-01-C-CG1WU16H,2026-06-01T10:34:00+00:00,2026-06-01T10:37:00+00:00,2026-06-01T10:42:00+00:00,2026-06-01T11:08:00+00:00,2026-06-01T11:56:00+00:00,3,5,26,34,26,3,0,0,0,97,1.0553,0.1468,27,21.7778,1,mixed,1,1.0,0.0,0,0,26
PUTAWAY_TO_RACK,4,1,19,1474,completed,auto,1,MOVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,13,E0013,402,SIMSHIFT-2026-06-01-C-ERW6Z8VB,2026-06-01T10:36:00+00:00,2026-06-01T10:37:00+00:00,2026-06-01T10:41:00+00:00,2026-06-01T11:02:00+00:00,2026-06-01T12:15:00+00:00,1,4,21,26,21,1,0,0,0,97,1.0758,0.1538,19,22.6842,1,mixed,1,1.0,0.0,0,0,21
PUTAWAY_TO_RACK,4,2,20,1475,completed,auto,1,MOVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,14,E0014,404,SIMSHIFT-2026-06-01-C-8MX1EVUH,2026-06-01T10:37:00+00:00,2026-06-01T10:38:00+00:00,2026-06-01T10:41:00+00:00,2026-06-01T11:05:00+00:00,2026-06-01T11:42:00+00:00,1,3,24,28,24,1,0,0,0,98,1.1012,0.1543,20,22.55,1,mixed,1,1.0,0.0,0,0,24
PUTAWAY_TO_RACK,6,5,22,1476,completed,auto,1,MOVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,15,E0015,405,SIMSHIFT-2026-06-01-C-TSN1U322,2026-06-01T10:40:00+00:00,2026-06-01T10:43:00+00:00,2026-06-01T10:46:00+00:00,2026-06-01T11:04:00+00:00,2026-06-01T11:49:00+00:00,3,3,18,24,18,3,0,0,0,103,1.1392,0.1419,26,23.4231,1,mixed,1,1.0,0.0,0,0,18
RECEIVE_TO_INBOUND,3,3,14,1477,completed,auto,1,RECEIVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,1,E0001,407,SIMSHIFT-2026-06-01-C-BY4AWTY0,2026-06-01T10:41:00+00:00,2026-06-01T10:46:00+00:00,2026-06-01T10:53:00+00:00,2026-06-01T11:05:00+00:00,2026-06-01T11:28:00+00:00,5,7,12,24,12,5,1,1,1,106,1.0703,0.1341,29,15.6897,1,mixed,1,1.0,0.0,0,0,12
RECEIVE_TO_INBOUND,4,1,13,1478,completed,auto,1,FORKLIFT;RECEIVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,2,E0002,408,SIMSHIFT-2026-06-01-C-YVZK3I8B,2026-06-01T10:42:00+00:00,2026-06-01T10:45:00+00:00,2026-06-01T10:52:00+00:00,2026-06-01T11:06:00+00:00,2026-06-01T12:30:00+00:00,3,7,14,24,14,3,1,1,1,105,1.1942,0.2109,32,17.4688,1,mixed,2,0.9477,0.0,21,1,14
GENERAL,1,3,12,1479,completed,auto,1,,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,5,E0005,,,2026-06-01T10:57:00+00:00,2026-06-01T10:58:00+00:00,2026-06-01T11:03:00+00:00,2026-06-01T11:15:00+00:00,2026-06-01T11:37:00+00:00,1,5,12,18,12,1,1,1,2,118,0.9631,0.0741,0,0.0,0,synthetic,0,1.0,0.0,0,0,12
PUTAWAY_TO_RACK,6,3,20,1480,completed,auto,1,MOVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,6,E0006,406,SIMSHIFT-2026-06-01-C-VFPTOMJB,2026-06-01T10:58:00+00:00,2026-06-01T11:02:00+00:00,2026-06-01T11:05:00+00:00,2026-06-01T11:30:00+00:00,2026-06-01T12:59:00+00:00,4,3,25,32,25,4,1,1,2,122,1.2225,0.1194,33,25.3333,1,mixed,1,1.0,0.0,0,0,25
GENERAL,1,4,12,1481,completed,auto,1,,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,13,E0013,,,2026-06-01T11:08:00+00:00,2026-06-01T11:09:00+00:00,2026-06-01T11:16:00+00:00,2026-06-01T11:25:00+00:00,2026-06-01T13:08:00+00:00,1,7,9,17,9,1,1,1,1,129,1.0133,0.1085,12,11.9167,1,mixed,0,1.0,0.0,0,0,9
PUTAWAY_TO_RACK,5,5,22,1482,completed,auto,1,MOVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,14,E0014,407,SIMSHIFT-2026-06-01-C-BY4AWTY0,2026-06-01T11:11:00+00:00,2026-06-01T11:17:00+00:00,2026-06-01T11:23:00+00:00,2026-06-01T11:45:00+00:00,2026-06-01T13:00:00+00:00,6,6,22,34,22,6,1,1,2,137,1.1012,0.1543,20,22.55,1,mixed,1,1.0,0.0,0,0,22
PUTAWAY_TO_RACK,5,2,20,1483,completed,auto,1,MOVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,2,E0002,408,SIMSHIFT-2026-06-01-C-YVZK3I8B,2026-06-01T11:13:00+00:00,2026-06-01T11:17:00+00:00,2026-06-01T11:23:00+00:00,2026-06-01T11:52:00+00:00,2026-06-01T12:08:00+00:00,4,6,29,39,29,4,2,2,2,137,1.1661,0.1499,30,24.3667,1,mixed,1,1.0,0.0,0,0,29
RECEIVE_TO_INBOUND,5,2,14,1484,completed,auto,1,RECEIVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,9,E0009,409,SIMSHIFT-2026-06-01-C-UPFR2P3Y,2026-06-01T11:14:00+00:00,2026-06-01T11:17:00+00:00,2026-06-01T11:23:00+00:00,2026-06-01T11:34:00+00:00,2026-06-01T13:22:00+00:00,3,6,11,20,11,3,1,1,3,137,0.9996,0.1251,28,14.8929,1,mixed,1,1.0,0.0,0,0,11
RECEIVE_TO_INBOUND,4,3,15,1485,completed,auto,1,FORKLIFT;RECEIVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,1,E0001,410,SIMSHIFT-2026-06-01-C-NWQVRR9A,2026-06-01T11:16:00+00:00,2026-06-01T11:17:00+00:00,2026-06-01T11:20:00+00:00,2026-06-01T11:34:00+00:00,2026-06-01T12:13:00+00:00,1,3,14,18,14,1,2,2,4,137,1.0703,0.1341,29,15.6897,1,mixed,2,0.9962,0.0,27,1,14
RECEIVE_TO_INBOUND,4,5,16,1486,completed,auto,1,RECEIVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,7,E0007,411,SIMSHIFT-2026-06-01-C-P452BFSO,2026-06-01T11:16:00+00:00,2026-06-01T11:17:00+00:00,2026-06-01T11:19:00+00:00,2026-06-01T11:42:00+00:00,2026-06-01T12:29:00+00:00,1,2,23,26,23,1,1,1,4,137,1.1997,0.1482,21,17.619,1,mixed,1,1.0,0.0,0,0,23
GENERAL,1,5,13,1487,completed,auto,1,,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,10,E0010,,,2026-06-01T11:35:00+00:00,2026-06-01T11:35:00+00:00,2026-06-01T11:40:00+00:00,2026-06-01T11:53:00+00:00,2026-06-01T13:24:00+00:00,0,5,13,18,13,0,1,1,4,155,1.0218,0.0638,0,0.0,0,synthetic,0,1.0,0.0,0,0,13
PUTAWAY_TO_RACK,5,5,23,1488,completed,auto,1,MOVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,12,E0012,409,SIMSHIFT-2026-06-01-C-UPFR2P3Y,2026-06-01T11:39:00+00:00,2026-06-01T11:40:00+00:00,2026-06-01T11:46:00+00:00,2026-06-01T12:13:00+00:00,2026-06-01T13:16:00+00:00,1,6,27,34,27,1,1,1,4,160,1.0553,0.1468,27,21.7778,1,mixed,1,1.0,0.0,0,0,27
PUTAWAY_TO_RACK,4,3,21,1489,completed,auto,1,FORKLIFT;MOVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,11,E0011,410,SIMSHIFT-2026-06-01-C-NWQVRR9A,2026-06-01T11:39:00+00:00,2026-06-01T11:41:00+00:00,2026-06-01T11:47:00+00:00,2026-06-01T12:08:00+00:00,2026-06-01T13:44:00+00:00,2,6,21,29,21,2,1,1,5,161,0.9545,0.0984,32,20.0,1,mixed,2,0.9933,0.0032,26,1,21
RECEIVE_TO_INBOUND,5,4,16,1490,completed,auto,1,RECEIVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,3,E0003,412,SIMSHIFT-2026-06-01-C-5EDJJTFP,2026-06-01T11:39:00+00:00,2026-06-01T11:41:00+00:00,2026-06-01T11:45:00+00:00,2026-06-01T12:06:00+00:00,2026-06-01T13:12:00+00:00,2,4,21,27,21,2,1,1,5,161,1.2715,0.1243,29,17.931,1,mixed,1,1.0,0.0,0,0,21
RECEIVE_TO_INBOUND,4,4,15,1491,completed,auto,1,RECEIVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,4,E0004,413,SIMSHIFT-2026-06-01-C-RJEDKTS2,2026-06-01T11:40:00+00:00,2026-06-01T11:43:00+00:00,2026-06-01T11:49:00+00:00,2026-06-01T12:04:00+00:00,2026-06-01T13:43:00+00:00,3,6,15,24,15,3,1,1,5,163,1.1648,0.1298,21,16.5714,1,mixed,1,1.0,0.0,0,0,15
PUTAWAY_TO_RACK,4,4,21,1492,completed,auto,1,MOVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,2,E0002,411,SIMSHIFT-2026-06-01-C-P452BFSO,2026-06-01T11:57:00+00:00,2026-06-01T12:00:00+00:00,2026-06-01T12:04:00+00:00,2026-06-01T12:25:00+00:00,2026-06-01T14:15:00+00:00,3,4,21,28,21,3,3,3,4,180,1.1661,0.1499,30,24.3667,1,mixed,1,1.0,0.0,0,0,21
RECEIVE_TO_INBOUND,5,5,16,1493,completed,auto,1,FORKLIFT;RECEIVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,1,E0001,414,SIMSHIFT-2026-06-01-C-BRCL472R,2026-06-01T12:00:00+00:00,2026-06-01T12:05:00+00:00,2026-06-01T12:09:00+00:00,2026-06-01T12:33:00+00:00,2026-06-01T13:35:00+00:00,5,4,24,33,24,5,3,3,7,185,1.0703,0.1341,29,15.6897,1,mixed,2,0.9962,0.0,27,1,24
RECEIVE_TO_INBOUND,4,1,13,1494,completed,auto,1,RECEIVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,8,E0008,415,SIMSHIFT-2026-06-01-C-0VUGKV05,2026-06-01T12:04:00+00:00,2026-06-01T12:07:00+00:00,2026-06-01T12:12:00+00:00,2026-06-01T12:30:00+00:00,2026-06-01T13:03:00+00:00,3,5,18,26,18,3,1,1,5,187,1.1221,0.1764,27,16.5185,1,mixed,1,1.0,0.0,0,0,18
PUTAWAY_TO_RACK,5,4,21,1495,completed,auto,1,MOVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,15,E0015,413,SIMSHIFT-2026-06-01-C-RJEDKTS2,2026-06-01T12:14:00+00:00,2026-06-01T12:14:00+00:00,2026-06-01T12:17:00+00:00,2026-06-01T12:39:00+00:00,2026-06-01T13:53:00+00:00,0,3,22,25,22,0,1,1,5,194,1.1392,0.1419,26,23.4231,1,mixed,1,1.0,0.0,0,0,22
PUTAWAY_TO_RACK,5,4,22,1496,completed,auto,1,MOVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,5,E0005,412,SIMSHIFT-2026-06-01-C-5EDJJTFP,2026-06-01T12:16:00+00:00,2026-06-01T12:22:00+00:00,2026-06-01T12:27:00+00:00,2026-06-01T12:50:00+00:00,2026-06-01T13:03:00+00:00,6,5,23,34,23,6,2,2,5,202,1.1584,0.133,18,24.3889,1,mixed,1,1.0,0.0,0,0,23
RECEIVE_TO_INBOUND,4,1,13,1497,completed,auto,1,RECEIVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,6,E0006,416,SIMSHIFT-2026-06-01-C-H3HJ5S6R,2026-06-01T12:17:00+00:00,2026-06-01T12:21:00+00:00,2026-06-01T12:23:00+00:00,2026-06-01T12:40:00+00:00,2026-06-01T13:06:00+00:00,4,2,17,23,17,4,2,2,5,201,1.0333,0.1789,31,14.4839,1,mixed,1,1.0,0.0,0,0,17
RECEIVE_TO_INBOUND,4,2,14,1498,completed,auto,1,FORKLIFT;RECEIVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,11,E0011,417,SIMSHIFT-2026-06-01-C-YM6IER0V,2026-06-01T12:21:00+00:00,2026-06-01T12:24:00+00:00,2026-06-01T12:28:00+00:00,2026-06-01T12:44:00+00:00,2026-06-01T13:47:00+00:00,3,4,16,23,16,3,2,2,8,204,1.1801,0.1375,30,16.9667,1,mixed,2,1.0042,0.006,25,1,16
PUTAWAY_TO_RACK,5,2,20,1499,completed,auto,1,MOVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,9,E0009,415,SIMSHIFT-2026-06-01-C-0VUGKV05,2026-06-01T12:31:00+00:00,2026-06-01T12:31:00+00:00,2026-06-01T12:35:00+00:00,2026-06-01T12:57:00+00:00,2026-06-01T14:39:00+00:00,0,4,22,26,22,0,2,2,5,211,1.1829,0.1619,20,24.75,1,mixed,1,1.0,0.0,0,0,22
PUTAWAY_TO_RACK,5,3,21,1500,completed,auto,1,MOVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,13,E0013,414,SIMSHIFT-2026-06-01-C-BRCL472R,2026-06-01T12:33:00+00:00,2026-06-01T12:36:00+00:00,2026-06-01T12:42:00+00:00,2026-06-01T13:05:00+00:00,2026-06-01T14:09:00+00:00,3,6,23,32,23,3,2,2,5,216,1.0758,0.1538,19,22.6842,1,mixed,1,1.0,0.0,0,0,23
MOVE_BETWEEN_SLOTS,3,5,20,1501,completed,auto,1,MOVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,8,E0008,339,SIMSHIFT-2026-05-09-C-LF44Y4TE,2026-06-01T12:34:00+00:00,2026-06-01T12:36:00+00:00,2026-06-01T12:39:00+00:00,2026-06-01T12:59:00+00:00,2026-06-01T14:41:00+00:00,2,3,20,25,20,2,2,2,6,216,0.9926,0.1148,17,18.0,1,mixed,1,1.0,0.0,0,0,20
DISPATCH_CARGO,4,3,19,1502,completed,auto,1,DISPATCH,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,6,E0006,339,SIMSHIFT-2026-05-09-C-LF44Y4TE,2026-06-01T13:04:00+00:00,2026-06-01T13:06:00+00:00,2026-06-01T13:10:00+00:00,2026-06-01T13:32:00+00:00,2026-06-01T14:41:00+00:00,2,4,22,28,22,2,3,3,6,246,1.0829,0.0913,0,0.0,0,synthetic,1,1.0,0.0,0,0,22
MOVE_BETWEEN_SLOTS,3,4,18,1503,completed,auto,1,MOVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,14,E0014,336,SIMSHIFT-2026-05-09-C-MSE4GOLL,2026-06-01T12:36:00+00:00,2026-06-01T12:36:00+00:00,2026-06-01T12:39:00+00:00,2026-06-01T13:00:00+00:00,2026-06-01T14:42:00+00:00,0,3,21,24,21,0,2,2,7,216,1.1746,0.0762,18,21.0,1,mixed,1,1.0,0.0,0,0,21
DISPATCH_CARGO,5,1,17,1504,completed,auto,1,DISPATCH,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,9,E0009,336,SIMSHIFT-2026-05-09-C-MSE4GOLL,2026-06-01T13:05:00+00:00,2026-06-01T13:06:00+00:00,2026-06-01T13:10:00+00:00,2026-06-01T13:29:00+00:00,2026-06-01T14:12:00+00:00,1,4,19,24,19,1,3,3,7,246,0.9916,0.0599,16,18.125,1,mixed,1,1.0,0.0,0,0,19
MOVE_BETWEEN_SLOTS,2,5,19,1505,completed,auto,1,MOVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,2,E0002,283,SIMSHIFT-2026-05-08-C-50CQ8EAU,2026-06-01T12:38:00+00:00,2026-06-01T12:42:00+00:00,2026-06-01T12:47:00+00:00,2026-06-01T13:13:00+00:00,2026-06-01T14:44:00+00:00,4,5,26,35,26,4,4,4,8,222,1.2578,0.252,25,22.24,1,mixed,1,1.0,0.0,0,0,26
DISPATCH_CARGO,4,5,20,1506,completed,auto,1,DISPATCH,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,13,E0013,283,SIMSHIFT-2026-05-08-C-50CQ8EAU,2026-06-01T13:16:00+00:00,2026-06-01T13:21:00+00:00,2026-06-01T13:25:00+00:00,2026-06-01T13:49:00+00:00,2026-06-01T14:41:00+00:00,5,4,24,33,24,5,3,3,8,261,1.1992,0.1267,20,22.25,1,mixed,1,1.0,0.0,0,0,24
MOVE_BETWEEN_SLOTS,4,1,16,1507,completed,auto,1,FORKLIFT;MOVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,1,E0001,229,SIMSHIFT-2026-05-06-C-E237WI9L,2026-06-01T12:41:00+00:00,2026-06-01T12:42:00+00:00,2026-06-01T12:49:00+00:00,2026-06-01T13:05:00+00:00,2026-06-01T13:56:00+00:00,1,7,16,24,16,1,4,4,12,222,1.0603,0.084,25,19.0,1,mixed,2,1.0003,0.0056,21,1,16
DISPATCH_CARGO,5,3,18,1508,completed,auto,1,DISPATCH;FORKLIFT,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,11,E0011,229,SIMSHIFT-2026-05-06-C-E237WI9L,2026-06-01T13:07:00+00:00,2026-06-01T13:09:00+00:00,2026-06-01T13:15:00+00:00,2026-06-01T13:46:00+00:00,2026-06-01T14:26:00+00:00,2,6,31,39,31,2,3,3,10,249,1.272,0.2797,26,23.7308,1,mixed,2,1.0243,0.0166,21,1,31
PUTAWAY_TO_RACK,5,3,20,1509,completed,auto,1,MOVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,3,E0003,416,SIMSHIFT-2026-06-01-C-H3HJ5S6R,2026-06-01T12:43:00+00:00,2026-06-01T12:46:00+00:00,2026-06-01T12:48:00+00:00,2026-06-01T13:10:00+00:00,2026-06-01T14:24:00+00:00,3,2,22,27,22,3,2,2,9,226,1.0873,0.0694,31,22.129,1,mixed,1,1.0,0.0,0,0,22
